*CREATOR
msr_cutter.exe,[V5.28.00]
msr2csv.exe,[V5.28.00]

*STARTTIME
6/30/2016,10:34:52 AM,

*MODUL
NAME,MSR308918,MSR308918,MSR308918,MSR308918,MSR308918
*NAME
NAME,FH Logger,FH Logger,FH Logger,FH Logger,FH Logger

ID,[C26113 V5.24],[C26113 V5.24],[C26113 V5.24],[C26113 V5.24],[C26113 V5.24]

*CHANNEL
TIME,p,T_p,RH,T_RH,T

*UNIT
,mbar,°C,%,°C,°C

*LIMITS
ALARM,,,,,
RECRD,,,,,
LIMIT1,,,,,
LIMIT2,,,,,

*DATA
6/30/2016 10:38:20 AM.719,995.2,25.7000007629395,52.1,24.9099998474121,24.3
6/30/2016 10:38:21 AM.719,995.2,25.7000007629395,52.0,24.8999996185303,24.3
6/30/2016 10:38:22 AM.719,995.3,25.7000007629395,51.9,24.8999996185303,24.3
6/30/2016 10:38:23 AM.719,995.2,25.7000007629395,51.8,24.8799991607666,24.3
6/30/2016 10:38:24 AM.719,995.2,25.7000007629395,51.8,24.8799991607666,24.3
6/30/2016 10:38:25 AM.719,995.3,25.7000007629395,51.8,24.8799991607666,24.3
6/30/2016 10:38:26 AM.719,995.2,25.7000007629395,51.7,24.8600006103516,24.3
6/30/2016 10:38:27 AM.719,995.2,25.6000003814697,51.7,24.8400001525879,24.2
6/30/2016 10:38:28 AM.719,995.2,25.6000003814697,51.7,24.8500003814697,24.2
6/30/2016 10:38:29 AM.719,995.2,25.6000003814697,51.7,24.8400001525879,24.2
6/30/2016 10:38:30 AM.719,995.2,25.6000003814697,51.9,24.8299999237061,24.2
6/30/2016 10:38:31 AM.719,995.2,25.6000003814697,52.0,24.8199996948242,24.2
6/30/2016 10:38:32 AM.719,995.0,25.6000003814697,52.0,24.8400001525879,24.3
6/30/2016 10:38:33 AM.719,995.1,25.6000003814697,52.0,24.8299999237061,24.3
6/30/2016 10:38:34 AM.719,995.1,25.6000003814697,52.1,24.8099994659424,24.3
6/30/2016 10:38:35 AM.719,995.3,25.6000003814697,52.1,24.8199996948242,24.3
6/30/2016 10:38:36 AM.719,995.1,25.6000003814697,52.1,24.8099994659424,24.3
6/30/2016 10:38:37 AM.719,995.1,25.6000003814697,52.2,24.8199996948242,24.3
6/30/2016 10:38:38 AM.719,995.1,25.6000003814697,52.2,24.8099994659424,24.3
6/30/2016 10:38:39 AM.719,995.0,25.5,52.2,24.8099994659424,24.3
6/30/2016 10:38:40 AM.719,995.2,25.5,52.1,24.7999992370605,24.3
6/30/2016 10:38:41 AM.719,995.2,25.5,52.1,24.8199996948242,24.3
6/30/2016 10:38:42 AM.719,995.1,25.5,52.1,24.7999992370605,24.3
6/30/2016 10:38:43 AM.719,995.2,25.5,52.2,24.8199996948242,24.3
6/30/2016 10:38:44 AM.719,995.1,25.5,52.2,24.8099994659424,24.3
6/30/2016 10:38:45 AM.719,995.2,25.5,52.3,24.8199996948242,24.3
6/30/2016 10:38:46 AM.719,995.2,25.5,52.3,24.8199996948242,24.3
6/30/2016 10:38:47 AM.719,995.2,25.5,52.4,24.8299999237061,24.3
6/30/2016 10:38:48 AM.719,995.2,25.5,52.5,24.8400001525879,24.4
6/30/2016 10:38:49 AM.719,995.2,25.5,52.6,24.8600006103516,24.4
6/30/2016 10:38:50 AM.719,995.1,25.5,52.6,24.8400001525879,24.4
6/30/2016 10:38:51 AM.719,995.1,25.5,52.7,24.8500003814697,24.4
6/30/2016 10:38:52 AM.719,995.2,25.5,52.8,24.8799991607666,24.4
6/30/2016 10:38:53 AM.719,995.1,25.5,52.8,24.8999996185303,24.4
6/30/2016 10:38:54 AM.719,995.2,25.5,52.8,24.8899993896484,24.4
6/30/2016 10:38:55 AM.719,995.2,25.5,52.8,24.8999996185303,24.4
6/30/2016 10:38:56 AM.719,995.2,25.5,52.8,24.8999996185303,24.4
6/30/2016 10:38:57 AM.719,995.2,25.5,52.7,24.8999996185303,24.4
6/30/2016 10:38:58 AM.719,995.3,25.5,52.7,24.8999996185303,24.4
6/30/2016 10:38:59 AM.719,995.2,25.3999996185303,52.5,24.8799991607666,24.4
6/30/2016 10:39:00 AM.719,995.2,25.5,52.4,24.8899993896484,24.4
6/30/2016 10:39:01 AM.719,995.1,25.3999996185303,52.3,24.8899993896484,24.4
6/30/2016 10:39:02 AM.719,995.3,25.3999996185303,52.3,24.8999996185303,24.4
6/30/2016 10:39:03 AM.719,995.2,25.3999996185303,52.2,24.8700008392334,24.4
6/30/2016 10:39:04 AM.719,995.1,25.3999996185303,52.2,24.8600006103516,24.4
6/30/2016 10:39:05 AM.719,995.1,25.3999996185303,52.2,24.8600006103516,24.3
6/30/2016 10:39:06 AM.719,995.1,25.3999996185303,52.2,24.8799991607666,24.3
6/30/2016 10:39:07 AM.719,995.1,25.3999996185303,52.2,24.8500003814697,24.3
6/30/2016 10:39:08 AM.719,995.2,25.3999996185303,52.2,24.8500003814697,24.3
6/30/2016 10:39:09 AM.719,995.2,25.3999996185303,52.3,24.8799991607666,24.3
6/30/2016 10:39:10 AM.719,995.1,25.3999996185303,52.3,24.8600006103516,24.3
6/30/2016 10:39:11 AM.719,995.2,25.3999996185303,52.3,24.8700008392334,24.3
6/30/2016 10:39:12 AM.719,995.2,25.3999996185303,52.3,24.8799991607666,24.3
6/30/2016 10:39:13 AM.719,995.2,25.3999996185303,52.3,24.8799991607666,24.3
6/30/2016 10:39:14 AM.719,995.2,25.3999996185303,52.3,24.8700008392334,24.4
